Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Machine Learning Technique for Smart City Development-Focus on Smart Mobility","Advances in Decision Sciences, Image Processing, Security and Computer Vision","","","","10.1007/978-3-030-24322-7_22","Md FasihuddinMohd Fazal Ul Haque Syed","2020","http://link.springer.com/chapter/10.1007/978-3-030-24322-7_22","Chapter"
"Big Data and the Internet of Things in Edge Computing for Smart City","Computer Information Systems and Industrial Management","","","","10.1007/978-3-030-28957-7_9","Jerzy BalickiHonorata BalickaPiotr DryjaMaciej Tyszka","2019","http://link.springer.com/chapter/10.1007/978-3-030-28957-7_9","Chapter"
"Big Data, the Internet of Things, and Smart City Research: A Literature Review and Research Agenda","EAI International Conference on Technology, Innovation, Entrepreneurship and Education","","","","10.1007/978-3-030-02242-6_20","Samuel Fosso WambaMessina Ntede Cécile AngélaEtoa Etoa Jean Bosco","2019","http://link.springer.com/chapter/10.1007/978-3-030-02242-6_20","Chapter"
"Machine Learning-Based Intrusion Detection System for Smart City","Advances in Computer Science and Ubiquitous Computing","","","","10.1007/978-981-13-9341-9_70","Jung Hyun RyuJong Hyuk Park","2020","http://link.springer.com/chapter/10.1007/978-981-13-9341-9_70","Chapter"
"Cyber-Physical Systems in Smart City: Challenges and Future Trends for Strategic Research","Proceedings of the International Conference on Advanced Intelligent Systems and Informatics 2019","","","","10.1007/978-3-030-31129-2_78","Mazen JumaKhaled Shaalan","2020","http://link.springer.com/chapter/10.1007/978-3-030-31129-2_78","Chapter"
"A Hybrid Machine Learning Based Low Cost Approach for Real Time Vehicle Position Estimation in a Smart City","Advances in Ubiquitous Networking 2","","","","10.1007/978-981-10-1627-1_44","Ikram BelhajemYann Ben MaissaAhmed Tamtaoui","2017","http://link.springer.com/chapter/10.1007/978-981-10-1627-1_44","Chapter"
"IoT Data-Based Architecture on OpenStack for Smart City","Advanced Intelligent Systems for Sustainable Development (AI2SD’2018)","","","","10.1007/978-3-030-11928-7_51","Chaimaa Ait BelahsenAbdelouahid LyhyaouiNadia Boufardi","2019","http://link.springer.com/chapter/10.1007/978-3-030-11928-7_51","Chapter"
"Internet of Thing and Smart City: State of the Art and Future Trends","Advances in Computer Communication and Computational Sciences","","","","10.1007/978-981-13-0344-9_1","Ako A. JaafarKarzan H. SharifMazen I. GharebDayang N. A. Jawawi","2019","http://link.springer.com/chapter/10.1007/978-981-13-0344-9_1","Chapter"
"The Post in the Smart City","Digital Transformation and Global Society","","","","10.1007/978-3-030-02843-5_18","Maria PavlovskayaOlga Kononova","2018","http://link.springer.com/chapter/10.1007/978-3-030-02843-5_18","Chapter"
"Occurrences Management in a Smart-City Context","Distributed Computing and Artificial Intelligence, Special Sessions, 15th International Conference","","","","10.1007/978-3-319-99608-0_13","Mário FerreiraJoão RamosPaulo Novais","2019","http://link.springer.com/chapter/10.1007/978-3-319-99608-0_13","Chapter"
"Smart City Security Based on the Biological Self-defense Mechanism","International Conference on Applications and Techniques in Cyber Security and Intelligence","","","","10.1007/978-3-319-67071-3_57","Leina ZhengTiejun PanSouzhen ZengMing Guo","2018","http://link.springer.com/chapter/10.1007/978-3-319-67071-3_57","Chapter"
"Mensageria: A Smart City Framework for Real-Time Analysis of Traffic Data Streams","Big Social Data and Urban Computing","","","","10.1007/978-3-030-11238-7_4","Marcos Roriz JuniorRafael Pereira de OliveiraFelipe CarvalhoSergio LifschitzMarkus Endler","2019","http://link.springer.com/chapter/10.1007/978-3-030-11238-7_4","Chapter"
"A Reference Architecture Supporting Smart City Applications","Business Information Systems","","","","10.1007/978-3-030-20485-3_36","Stanimir StoyanovTodorka GlushkovaAsya Stoyanova-DoychevaVanya Ivanova","2019","http://link.springer.com/chapter/10.1007/978-3-030-20485-3_36","Chapter"
"ELM Meets Urban Computing: Ensemble Urban Data for Smart City Application","Proceedings of ELM-2015 Volume 1","","","","10.1007/978-3-319-28397-5_5","Ningyu ZhangHuajun ChenXi ChenJiaoyan Chen","2016","http://link.springer.com/chapter/10.1007/978-3-319-28397-5_5","Chapter"
"From Metadata Catalogs to Distributed Data Processing for Smart City Platforms and Services: A Study on the Interplay of CKAN and Hadoop","Cloud Computing and Service Science","","","","10.1007/978-3-319-94959-8_7","Robert ScholzNikolay TcholtchevPhilipp LämmelIna Schieferdecker","2018","http://link.springer.com/chapter/10.1007/978-3-319-94959-8_7","Chapter"
"EDGE4ALL: Edge Computing for Smart City","Mobility Internet of Things 2018","","","","10.1007/978-3-030-30911-4_24","Ricardo MartinsHenrique SantosSérgio LopesAníbal LeiteÁlvaro MatosPaulo Cunha","2020","http://link.springer.com/chapter/10.1007/978-3-030-30911-4_24","Chapter"
"Detecting Situations from Heterogeneous Internet of Things Data in Smart City Context","Intelligent Computing","","","","10.1007/978-3-030-01174-1_85","SK Alamgir HossainMd. Anisur RahmanM. Anwar Hossain","2019","http://link.springer.com/chapter/10.1007/978-3-030-01174-1_85","Chapter"
"Infrastructure of RFID-Based Smart City Traffic Control System","Automation 2019","","","","10.1007/978-3-030-13273-6_19","Bartosz PawłowiczMateusz SalachBartosz Trybus","2020","http://link.springer.com/chapter/10.1007/978-3-030-13273-6_19","Chapter"
"Small Effort to Build Pune as a Smart City: Smart Real-Time Road Condition Detection and Efficient Management System","Smart Computing and Informatics","","","","10.1007/978-981-10-5547-8_63","Suresh LimkarOmkar RajmaneAishwarya BhosaleVidya Rane","2018","http://link.springer.com/chapter/10.1007/978-981-10-5547-8_63","Chapter"
"A Smart City Application for Sharing Up-to-date Road Surface Conditions Detected from Crowdsourced Data","Distributed, Ambient and Pervasive Interactions","","","","10.1007/978-3-319-58697-7_16","Kenro AiharaPiao BinHajime ImuraAtsuhiro TakasuYuzuru Tanaka","2017","http://link.springer.com/chapter/10.1007/978-3-319-58697-7_16","Chapter"
"Computer Vision and Deep Learning-Enabled UAVs: Proposed Use Cases for Visually Impaired People in a Smart City","Computer Analysis of Images and Patterns","","","","10.1007/978-3-030-29930-9_9","Moustafa M. NasrallaIkram U. RehmanDrishty SobnathSara Paiva","2019","http://link.springer.com/chapter/10.1007/978-3-030-29930-9_9","Chapter"
"Some Artificial Intelligence Driven Algorithms For Mobile Edge Computing in Smart City","Computer Information Systems and Industrial Management","","","","10.1007/978-3-030-28957-7_10","Jerzy BalickiPiotr DryjaMarcin Zakidalski","2019","http://link.springer.com/chapter/10.1007/978-3-030-28957-7_10","Chapter"
"Implementing a Holistic Approach for the Smart City","Active Media Technology","","","","10.1007/978-3-319-09912-5_45","Roberto RequenaAntonio AgudoAlba BaronMaria CamposCarlos GuijarroJose PucheDavid VillaFelix VillanuevaJuan Carlos Lopez","2014","http://link.springer.com/chapter/10.1007/978-3-319-09912-5_45","Chapter"
"Cloud Infrastructure Design Model for Green Smart City: Case Study of Electricity Generating Authority of Thailand","Information Science and Applications","","","","10.1007/978-981-15-1465-4_15","Ririnda ThirasupaChaiyachet SaivichitChaodit Aswakul","2020","http://link.springer.com/chapter/10.1007/978-981-15-1465-4_15","Chapter"
"Advanced Human Centric 5G-IoT in a Smart City: Requirements and Challenges","Human Centered Computing","","","","10.1007/978-3-030-37429-7_28","Dragorad MilovanovicVladan PantovicNatasa BojkovicZoran Bojkovic","2019","http://link.springer.com/chapter/10.1007/978-3-030-37429-7_28","Chapter"
"Internet of Things-Based Framework for Public Transportation Fleet Management in Non-smart City","Emerging Technologies for Developing Countries","","","","10.1007/978-3-030-05198-3_1","Muthoni MasindeAhmed ShomanMohamed Hassan Mostafa","2019","http://link.springer.com/chapter/10.1007/978-3-030-05198-3_1","Chapter"
"Nonnegative Coupled Matrix Tensor Factorization for Smart City Spatiotemporal Pattern Mining","Machine Learning, Optimization, and Data Science","","","","10.1007/978-3-030-13709-0_44","Thirunavukarasu BalasubramaniamRichi NayakChau Yuen","2019","http://link.springer.com/chapter/10.1007/978-3-030-13709-0_44","Chapter"
"Traffic Jams Detection and Congestion Avoidance in Smart City Using Parallel K-Means Clustering Algorithm","Proceedings of International Conference on Cognition and Recognition","","","","10.1007/978-981-10-5146-3_3","DoreswamyOsama A. Ghoneim","2018","http://link.springer.com/chapter/10.1007/978-981-10-5146-3_3","Chapter"
"Spatial Data Infrastructures for Urban Governance Using High-Performance Computing for Smart City Applications","Smart Intelligent Computing and Applications","","","","10.1007/978-981-32-9690-9_64","G. S. NagarajaAnjan K. KoundinyaG. ThippeswamyVinay V. Hegde","2020","http://link.springer.com/chapter/10.1007/978-981-32-9690-9_64","Chapter"
"Balancing Speedup and Accuracy in Smart City Parallel Applications","Euro-Par 2016: Parallel Processing Workshops","","","","10.1007/978-3-319-58943-5_18","Carlo MastroianniEugenio CesarioAndrea Giordano","2017","http://link.springer.com/chapter/10.1007/978-3-319-58943-5_18","Chapter"
"Storing and Indexing IoT Context for Smart City Applications","Internet of Things, Smart Spaces, and Next Generation Networks and Systems","","","","10.1007/978-3-319-46301-8_10","Alexey MedvedevArkady ZaslavskyMaria Indrawan-SantiagoPari Delir HaghighiAlireza Hassani","2016","http://link.springer.com/chapter/10.1007/978-3-319-46301-8_10","Chapter"
"The Role of RDF Stream Processing in an Smart City ICT Infrastructure - The Aspern Smart City Use Case","The Semantic Web: ESWC 2015 Satellite Events","","","","10.1007/978-3-319-25639-9_47","Josiane Xavier ParreiraDeepak DhunganaGerhard Engelbrecht","2015","http://link.springer.com/chapter/10.1007/978-3-319-25639-9_47","Chapter"
"ACO-RR: Ant Colony Optimization Ridge Regression in Reuse of Smart City System","Reuse in the Big Data Era","","","","10.1007/978-3-030-22888-0_14","Qiaoyun YinKe NiuNing LiXueping PengYijie Pan","2019","http://link.springer.com/chapter/10.1007/978-3-030-22888-0_14","Chapter"
"Towards a Holistic Privacy Preserving Approach in a Smart City Environment","Innovations in Smart Cities Applications Edition 3","","","","10.1007/978-3-030-37629-1_68","Driss El MajdoubiHanan El Bakkali","2020","http://link.springer.com/chapter/10.1007/978-3-030-37629-1_68","Chapter"
"Performance Analysis of Cooperative MIMO Systems for Mobile Coverage in Smart City Application","Innovations in Smart Cities Applications Edition 3","","","","10.1007/978-3-030-37629-1_39","Richard MusabeSaid Rutabayiro NgogaEmmanuel ManizabayoVienna N. KatambireYaramba Hadelin","2020","http://link.springer.com/chapter/10.1007/978-3-030-37629-1_39","Chapter"
"IoT Platform for Smart City: A Global Survey","Emerging Trends in Expert Applications and Security","","","","10.1007/978-981-13-2285-3_24","Rakesh RoshanAnukrati SharmaO. P. Rishi","2019","http://link.springer.com/chapter/10.1007/978-981-13-2285-3_24","Chapter"
"Exploiting SAaaS in Smart City Scenarios","Intelligent Computing Theories","","","","10.1007/978-3-642-39479-9_74","Salvatore DistefanoGiovanni MerlinoAntonio Puliafito","2013","http://link.springer.com/chapter/10.1007/978-3-642-39479-9_74","Chapter"
"IoT-SDNPP: A Method for Privacy-Preserving in Smart City with Software Defined Networking","Algorithms and Architectures for Parallel Processing","","","","10.1007/978-3-030-05063-4_24","Mehdi GheisariGuojun WangShuhong ChenHamidreza Ghorbani","2018","http://link.springer.com/chapter/10.1007/978-3-030-05063-4_24","Chapter"
"On-Street Car Parking Prediction in Smart City: A Multi-source Data Analysis in Sensor-Cloud Environment","Security, Privacy, and Anonymity in Computation, Communication, and Storage","","","","10.1007/978-3-319-72395-2_58","Walaa AlajaliSheng WenWanlei Zhou","2017","http://link.springer.com/chapter/10.1007/978-3-319-72395-2_58","Chapter"
"An Improved Robust Low Cost Approach for Real Time Vehicle Positioning in a Smart City","Industrial Networks and Intelligent Systems","","","","10.1007/978-3-319-52569-3_7","Ikram BelhajemYann Ben MaissaAhmed Tamtaoui","2017","http://link.springer.com/chapter/10.1007/978-3-319-52569-3_7","Chapter"
"Efficient Execution of Smart City’s Assets Through a Massive Parallel Computational Model","Smart Societies, Infrastructure, Technologies and Applications","","","","10.1007/978-3-319-94180-6_6","Muhammad Usman AshrafFathy Alboraei EassaAiiad Ahmad Albeshri","2018","http://link.springer.com/chapter/10.1007/978-3-319-94180-6_6","Chapter"
"EDF-VD Scheduling-Based Mixed Criticality Cyber-Physical Systems in Smart City Paradigm","Inventive Communication and Computational Technologies","","","","10.1007/978-981-15-0146-3_90","G. Naveen BalajiM. SethupathiN. SivaramakrishnanS. Theeijitha","2020","http://link.springer.com/chapter/10.1007/978-981-15-0146-3_90","Chapter"
"A LoRaWAN Coverage Testbed and a Multi-optional Communication Architecture for Smart City Feasibility in Developing Countries","e-Infrastructure and e-Services for Developing Countries","","","","10.1007/978-3-030-41593-8_6","Pape Abdoulaye BarroMarco ZennaroJules Degila","2020","http://link.springer.com/chapter/10.1007/978-3-030-41593-8_6","Chapter"
"A Graph Based Analysis of User Mobility for a Smart City Project","Next Generation Computing Technologies on Computational Intelligence","","","","10.1007/978-981-15-1718-1_12","Jai Prakash VermaSapan H. MankadSanjay Garg","2019","http://link.springer.com/chapter/10.1007/978-981-15-1718-1_12","Chapter"
"A Novel Taxi Dispatch System for Smart City","Distributed, Ambient, and Pervasive Interactions","","","","10.1007/978-3-642-39351-8_36","Qingnan ZouGuangtao XueYuan LuoJiadi YuHongzi Zhu","2013","http://link.springer.com/chapter/10.1007/978-3-642-39351-8_36","Chapter"
"Smart City Mobile Apps Exploratory Data Analysis: Mauritius Case","Innovations in Smart Cities Applications Edition 3","","","","10.1007/978-3-030-37629-1_4","Nawaz MohamudallySandhya Armoogum","2020","http://link.springer.com/chapter/10.1007/978-3-030-37629-1_4","Chapter"
"General Smart City Experts’ Perceptions of Citizen Participation: A Questionnaire Survey","Innovations in Smart Cities Applications Edition 3","","","","10.1007/978-3-030-37629-1_1","Jihane TadiliHakima Fasly","2020","http://link.springer.com/chapter/10.1007/978-3-030-37629-1_1","Chapter"
"Analysis of Constrained Navigation in a Bounded Smart City","Smart Intelligent Computing and Applications","","","","10.1007/978-981-13-1921-1_8","Arihant SinhaJimmy Mathew","2019","http://link.springer.com/chapter/10.1007/978-981-13-1921-1_8","Chapter"
"The Network Topology of Connecting Things: Defence of IoT Graph in the Smart City","Computational Science – ICCS 2019","","","","10.1007/978-3-030-22750-0_7","Marta ChinniciVincenzo FioritiAndrea Arbore","2019","http://link.springer.com/chapter/10.1007/978-3-030-22750-0_7","Chapter"
"How to Improve Wastewater Treatment in Smart City","Innovations in Smart Cities Applications Edition 3","","","","10.1007/978-3-030-37629-1_82","Aziz TaouraoutAbdelkader ChahlaouiDriss BelghytiMohamed NajyRachid Sammoudi","2020","http://link.springer.com/chapter/10.1007/978-3-030-37629-1_82","Chapter"
