Title,Year,DOI,Link,Abstract,Access Type
"Physical Layer Security for the Smart Grid: Vulnerabilities, Threats, and Countermeasures",2019,"10.1109/TII.2019.2931436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077498062&doi=10.1109%2fTII.2019.2931436&partnerID=40&md5=c8dab7bee0253d05aa1b4785978f6976","Smart energy systems are becoming an important component of smart cities. The wide adoption of existing computing technologies and communication standards by a smart energy system exposes it to the plethora of threats that exist in cyberspace. In this article, we investigate the vulnerabilities and threats associated with smart energy system components, including Internet of Things enabled devices, as well as relevant communication standards, and we discuss countermeasures against adversarial attacks. We found that the existing literature has reported various attacks, including modification, denial-of-service, malware, and message replay, which can cause malfunctioning of different components of a smart energy system. In addition, we propose a framework for securing the physical layer of the smart energy system. The framework is based on advanced key generation, machine learning, and physical layer security techniques, which enhance the security of smart energy systems across different applications. © 2019 IEEE.",
"A Q -Learning Based Framework for Congested Link Identification",2019,"10.1109/JIOT.2019.2930459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076787181&doi=10.1109%2fJIOT.2019.2930459&partnerID=40&md5=910748a4e2ae0ae4c40e8a38f6e82f03","Network congestion will result in significant performance degradation or even failures of many bandwidth-hungry Internet of Things (IoT) applications. Accurate and efficient congested link identification has become a foundational issue to IoT applications like self-driving cars, digital health, smart city, and so on. However, directly monitoring the massive number of interior links often introduces high operation cost or even is infeasible in practice, giving rise to indirect monitoring techniques like network Boolean tomography. Nevertheless, in many networks, the number of their interior links is larger than their end-to-end paths, making it very challenging for network Boolean tomography to find a determined solution. To resolve this issue, most of current methods try to utilize some prerequisites, such as the link congestion probabilities. While these probabilities might be hard or even unable to be obtained accurately in dynamical networks, limiting the practical deployment. In this paper, we are motivated to design a framework of congested link identification without any prerequisite or assumption. We first novelly model the congested link identification procedures as a Markov decision processes (MDPs), and then employ a reinforcement learning technology, i.e., Q -learning, to solve this MDP. The simulation results show that our proposed scheme can autonomously and efficiently explore the unknown network environment, and is able to achieve better adaptivity and correctness, without any prior knowledge comparing to existing methods. © 2014 IEEE.",
"Data mining methodology employing artificial intelligence and a probabilistic approach for energy-efficient structural health monitoring with noisy and delayed signals",2019,"10.1016/j.eswa.2019.05.051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067170291&doi=10.1016%2fj.eswa.2019.05.051&partnerID=40&md5=69e1ac34bdf041d2d07589e430ff892b","Numerous methods have been developed in the context of expert and intelligent systems for structural health monitoring (SHM) with wireless sensor networks (WSNs). However, these techniques have been proven to be efficient when dealing with continuous signals, and the applicability of such expert systems with discrete noisy signals has not yet been explored. This study presents an intelligent data mining methodology as part of an expert system developed for SHM with noisy and delayed signals, which are generated by a through-substrate self-powered sensor network. The noted sensor network has been demonstrated as an effective means for minimizing energy consumption in WSNs for SHM. Experimental vibration tests were conducted on a cantilever plate to evaluate the developed expert system for SHM. The proposed data mining method is based on the integration of pattern recognition, an innovative probabilistic approach, and machine learning. The novelty of the proposed system for SHM with data interpretation methodology lies in the integration of the noted intelligent techniques on discrete, binary, noisy, and delayed patterns of signals collected from self-powered sensing technology in the application to a practical engineering problem, i.e., data-driven energy-efficient SHM. Results confirm that the proposed data mining method employing a probabilistic approach can be effectively used to reconstruct delayed and missing signals, thereby addressing the important issue of energy availability for intelligent SHM systems being used for damage identification in civil and aerospace structures. The applicability and effectiveness of the expert system with the data mining approach in detecting damage with noisy signals was demonstrated for plate-like structures with an accuracy of 97%. The present study successfully contributes to advance data mining and signal processing techniques in the SHM domain, indicating a practical application of expert and intelligent systems applied to damage detection in SHM platforms. Findings from this research pave a way for development of the data analysis techniques that can be employed for interpreting noisy and incomplete signals collected from various expert systems such as those being used in intelligent infrastructure monitoring systems and smart cities. © 2019 Elsevier Ltd",
"Deep neural network architectures for social services diagnosis in smart cities",2019,"10.1016/j.future.2019.05.034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065717758&doi=10.1016%2fj.future.2019.05.034&partnerID=40&md5=91961580ed2ea8ca93518a9c178978de","Social services intend to aid disadvantaged, distressed, or vulnerable persons or groups. Machine Learning (ML) and Deep Learning (DL), which are important technologies to leverage Internet of Things and Big Data, have not been considered to support intelligent social services in Smart Cities. Using technology to achieve more responsive, efficient, and proactive social services is a must in Smart Cities because it will lead to a more fair and egalitarian society. This research work contributes with the evaluation of a thousand Neural Networks architectures for the automatic diagnosis of chronic social exclusion. Some of them outperform previous models in quality metrics such as accuracy and F-score. Beyond the improvement in predicting this specific social condition, to the best of the authors’ knowledge, this paper open the research line of applying these methods for the general social services diagnosis in Smart Cities. Finally, the advantages of using the DL paradigm over other ML alternatives in this scope are discussed. © 2019 Elsevier B.V.",
"Multimedia-oriented action recognition in Smart City-based IoT using multilayer perceptron",2019,"10.1007/s11042-018-6919-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061644609&doi=10.1007%2fs11042-018-6919-z&partnerID=40&md5=22c225b5c34ac207211f72103c4dbfac","The Internet of Things (IoT) devices and technologies for smart city applications produces a vast amount of multimedia data (e.g., audio, video, image, text and sensorial data), such big data are difficult to handle with traditional techniques and algorithms. The emerging machine learning techniques have the potential to facilitate the development of a new class of applications that can deal with such multimedia big data. Recently, Activity Recognition systems suggest using of multimedia data to detect daily actions, since it provides more accurate patterns; prevent the arising complain on privacy issues (in case of using audio-base data) and able to work on a big data. In this paper, we propose a Deep Learning (DL) methodology for classifying audio data that is based on multilayer perceptron neural networks. The contributions of our work are to propose an efficient design of the network topology including hidden layers, neurons, and the fitness function. In addition, the proposed methodology contributed in producing high performance classifier in terms of accuracy and f-measure. The experiments have been conducted on four large audio-datasets that have been collected to represent different modalities in a smart city. The results indicated that the proposed methodology achieved high performance as compared to the state-of-the-art machine learning techniques. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",
"Data interpretation framework integrating machine learning and pattern recognition for self-powered data-driven damage identification with harvested energy variations",2019,"10.1016/j.engappai.2019.08.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071862199&doi=10.1016%2fj.engappai.2019.08.004&partnerID=40&md5=fae284b84f2bbefd527d782893f4ab1d","Data mining methods have been widely used for structural health monitoring (SHM) and damage identification for analysis of continuous signals. Nonetheless, the applicability and effectiveness of these techniques cannot be guaranteed when dealing with discrete binary and incomplete/missing signals (i.e., not continuous in time). In this paper a novel data interpretation framework for SHM with noisy and incomplete signals, using a through-substrate self-powered sensing technology, is presented within the context of artificial intelligence (AI). AI methods, namely, machine learning and pattern recognition, were integrated within the data interpretation framework developed for use in a practical engineering problem: data-driven SHM of plate-like structures. Finite element simulations on an aircraft stabilizer wing and experimental vibration tests on a dynamically loaded plate were conducted to validate the proposed framework. Machine learning algorithms, including support vector machine, k-nearest neighbor, and artificial neural networks, were integrated within the developed learning framework for performance assessment of the monitored structures. Different levels of harvested energy were considered to evaluate the robustness of the SHM system with respect to such variations. Results demonstrate that the SHM methodology employing the proposed machine learning-based data interpretation framework is efficient and robust for damage detection with incomplete and sparse/missing binary signals, overcoming the notable issue of energy availability for smart damage identification platforms being used in structural/infrastructure and aerospace health monitoring. The present study aims to advance data mining and interpretation techniques in the SHM domain, promoting the practical application of machine learning and pattern recognition with incomplete and missing/sparse signals in smart cities and smart infrastructure monitoring. © 2019 Elsevier Ltd",
"Iot based WSN ground water monitoring system with cloud-based monitoring as a service (Maas) and prediction using machine learning",2019,"10.35940/ijitee.A4316.119119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075088557&doi=10.35940%2fijitee.A4316.119119&partnerID=40&md5=d087e9bd5d3f975ab52afcab0d581dbe","The main source of water in the Indian Subcontinent is Groundwater. It is also the most rapidly depleting resource due to various reasons such as rampant unchecked irrigation and exploitation of groundwater by industries and other organizations. The current system is limited by short communication range, high power consumption and the system monitors only the water level and the report is available only to the consumer i.e. it is a single-user system. Due to the unavailability of a centralized system to monitor and prevent overuse of water resources, sudden water crises have become a major issue in India. This project aims at implementing an IoT (Internet of things) based water monitoring system that monitors the water level and the quality of groundwater and updates real-time data to the database. This system is designed to monitor the groundwater level of an entire village or a town. It updates the people and the concerned government authorities in case of any decrease in water level and water quality below the threshold value, and also monitors the water consumption during a period and predicts exhaustion time. This system predicts the availability of water in the future based on current demand and usage and the recharge rate using machine learning algorithms. The data collected and the analysis of the data is made available in a Public Cloud. The modules are based on Raspberry Pi Zero, sensor nodes and LoRa (Long Range) Module or Wi-Fi module according to the network requirement for connectivity. © BEIESP.",Open Access
"RAMTEL: Robust Acoustic Motion Tracking Using Extreme Learning Machine for Smart Cities",2019,"10.1109/JIOT.2019.2903211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073456559&doi=10.1109%2fJIOT.2019.2903211&partnerID=40&md5=9f0ef411e8d0a65aa6f44a37ceb76933","Motion tracking is attractive in what concerns a smart city environment, where citizens have to interact with Internet of Things (IoT) infrastructures spread all around one particular city. Motion tracking is important for smart services and location-based services in smart cities, since it provides natural ways for users to interact with the IoT infrastructures, such as the ability to recognize of a wide range of hand motion in real-time. Compared with dedicated hardware devices, ubiquitous devices with reliable speakers and microphones can be developed to achieve cheap acoustic-based motion tracking, which is appropriate for low-power and low-cost IoT applications. However, for complex urban environments, it is very difficult for acoustic-based methods to achieve accurate motion tracking due to multipath fading and limited sampling rate at mobile devices. In this paper, a new parameter called multipath dispersion vector (MDV) is proposed to estimate and mitigate the impact of multipath fading on received signals using extreme learning machine. Based on MDV, a robust acoustic motion tracking (RAMTEL) method is proposed to calculate the moving distance based on the phase change of acoustic signals, and track the corresponding motion in 2-D plane by using multiple speakers. The method is then proposed and implemented on standard Android smartphones. Experiment results show, without any specialized hardware, RAMTEL can achieve an impressive millimeter-level accuracy for localization and motion tracking applications in multipath fading environments. Specifically, the measurement errors are less than 2 and 4 mm in 1-D and 2-D scenarios, respectively. © 2014 IEEE.",
"Privacy-Preserving Support Vector Machine Training over Blockchain-Based Encrypted IoT Data in Smart Cities",2019,"10.1109/JIOT.2019.2901840","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069186132&doi=10.1109%2fJIOT.2019.2901840&partnerID=40&md5=6adf43e26c5c03544a5b1157da495f5e","Machine learning (ML) techniques have been widely used in many smart city sectors, where a huge amount of data is gathered from various (IoT) devices. As a typical ML model, support vector machine (SVM) enables efficient data classification and thereby finds its applications in real-world scenarios, such as disease diagnosis and anomaly detection. Training an SVM classifier usually requires a collection of labeled IoT data from multiple entities, raising great concerns about data privacy. Most of the existing solutions rely on an implicit assumption that the training data can be reliably collected from multiple data providers, which is often not the case in reality. To bridge the gap between ideal assumptions and realistic constraints, in this paper, we propose secureSVM, which is a privacy-preserving SVM training scheme over blockchain-based encrypted IoT data. We utilize the blockchain techniques to build a secure and reliable data sharing platform among multiple data providers, where IoT data is encrypted and then recorded on a distributed ledger. We design secure building blocks, such as secure polynomial multiplication and secure comparison, by employing a homomorphic cryptosystem, Paillier, and construct a secure SVM training algorithm, which requires only two interactions in a single iteration, with no need for a trusted third-party. Rigorous security analysis prove that the proposed scheme ensures the confidentiality of the sensitive data for each data provider as well as the SVM model parameters for data analysts. Extensive experiments demonstrates the efficiency of the proposed scheme. © 2014 IEEE.",
"Railway infrastructure and traveller usage prediction and rendering solutions",2019,"10.35940/ijitee.J9296.0981119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074049144&doi=10.35940%2fijitee.J9296.0981119&partnerID=40&md5=363ee2f5fc2090db9cc8fad643e8f4e8","This project introduces the primary establishments of Big Data connected to Smart Cities. An IOT based mechanism is proposed to be connected to various areas. In this project, we are trying to predict and provide the solution to improvise the railway / bus infrastructure and their services. Indian local & state railways or buses are a mode of transport service where thousands of people process every minute. Thus our proposed system involves data collection of the users based on id, username, gender, age, the timing of travel, station source and destination to monitor the user travel behavior. Thus the collected data can be used for analytics and prediction. Predicting the consumer's count and behavior who uses the railway services are solved through the R Programming. The data analytics are performed using R studio. For this work, In R programming, we use K-means algorithm for clustering and use Naive Bayes algorithm for machine learning and solution defining. Finally, the predictive output is sent for public access using shinyapps.io. These results are useful to the travelling systems for giving better services to passengers. © BEIESP.",
"Automatic Knowledge Extraction to Build Semantic Web of Things Applications",2019,"10.1109/JIOT.2019.2918327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071765999&doi=10.1109%2fJIOT.2019.2918327&partnerID=40&md5=fee5823d885ac801414a17213322eb88","The Internet of Things (IoT) primary objective is to make a hyper-connected world for various application domains. However, IoT suffers from a lack of interoperability leading to a substantial threat to the predicted economic value. Schema.org provides semantic interoperability to structure heterogeneous data on the Web. An extension of this vocabulary for the IoT domain (iot.schema.org) is an ongoing research effort to address semantic interoperability for the Web of Things (WoT). To design this vocabulary, a central challenge is to identify the main topics (concepts and properties) automatically from existing knowledge in IoT applications. We designed knowledge extraction for the WoT (KE4WoT) to automatically identify the most important topics from literature ontologies of three different IoT application domains: 1) smart home; 2) smart city; and 3) smart weather - based on our corpus consisting of 4500 full-text conference and journal articles to utilize domain-specific knowledge encoded within IoT publications. Despite the importance of automatically identifying the relevant topics for iot.schema.org, up to know there is no study dealing with this issue. To evaluate the extracted topics, we compare the descriptiveness of these topics for the ten most popular ontologies in the three domains with empirical evaluations of 23 domain experts. The results illustrate that the identified main topics of IoT ontologies can be used to sufficiently describe existing ontologies as keywords. © 2014 IEEE.",
"Designing a Smart Transportation System: An Internet of Things and Big Data Approach",2019,"10.1109/MWC.2019.1800512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071294616&doi=10.1109%2fMWC.2019.1800512&partnerID=40&md5=aba5493a81a1425b0412dfb68b141661","Big data analytics are widely used in many areas such as efficient designing and planning of smart transportation, smart control systems, smart cities, smart communities, and more. However, analyzing big data for smart control systems has many challenges and issues using conventional engineering techniques. These challenges include processing big data in real time, fast processing, and efficient decision and management. In this article, we design a model for analyzing transportation data with Hadoop along with Spark to handle real-time transportation data. The system is further divided into four layers: data collection and acquisition, network, data processing, and application. Each layer is designed in a way to process and manage data in a well-organized format. Similarly, the data is tested through Hadoop and Spark in the data processing layer. The data is disseminated to a smart community citizen using the proposed event and decision mechanism based on named data networking. The proposed system is tested for transportation datasets from various authentic sources. The results show processing of data and real-time dissemination with citizens in less possible time. The Hadoop ecosystem along with Spark generate highly accurate results. Further, the significance of the proposed architecture is that it can be used in generic vehicular network scenarios. © 2002-2012 IEEE.",
"Authentication in cloud-driven IoT-based big data environment: Survey and outlook",2019,"10.1016/j.sysarc.2018.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059459091&doi=10.1016%2fj.sysarc.2018.12.005&partnerID=40&md5=896f8159c5ab4cd0e620842d134c9d8d","The Internet of Things (IoT) is composed of different networked objects (i.e., smart devices) which are interconnected to gather, process, refine, and exchange meaningful data over the Internet. These objects are assigned to their respective IP addresses, and they are able to send and receive data over a network without any human assistance. IoT offers different types of applications, such as, but not limited to, smart traffic monitoring, smart home, smart health care and smart cities, to name a few. In a Cyber-Physical System (CPS), computing elements coordinate and communicate with sensor devices, which monitor cyber and physical indicators, and actuators, and also modify the cyber and physical environment where they run. The synergy of computational as well as physical components, specifically the use of CPSs, led to the advancement of IoT implementations. In a cloud-driven IoT-based big data environment, a cloud-based platform is used to store the data generated by IoT devices (normally by sensor devices) which further can be considered as a big data warehouse. This environment is highly scalable and provides important real-time event processing (for example, in critical scenarios like surveillance and monitoring of an industrial plant). In IoT-based critical applications, the real-time data access is obligatory as and when it is required. Such access is possible if we permit only authorized external users to access the real-time data directly from the IoT sensors. Sometimes authorized user may also request for big data query processing and big data analytics over the data stored in cloud servers to figure out hidden patterns of some phenomena (i.e., chances of fire in an industrial plant in future). Therefore, we need secure authentication schemes for cloud-driven IoT-based big data environment in which a legitimate user and an IoT sensor can mutually authenticate each other and establish a common session key for secure communication. In this context, this paper first discusses the network and threat models of the authentication schemes for cloud-driven IoT-based big data environment. Some security requirements, issues and challenges of this environment are then discussed. A taxonomy of various existing authentication schemes applicable for cloud-driven IoT-based big data environment is also discussed, which covers a comparative study of these schemes. We identify and briefly discuss some future research challenges in designing the authentication schemes and other security protocols for cloud-driven IoT-based big data environment that need to be addressed in the future. © 2018 Elsevier B.V.",
