Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,,,,,
A robust low cost approach for real time car positioning in a smart city using Extended Kalman Filter and evolutionary machine learning,I. Belhajem; Y. Ben Maissa; A. Tamtaoui,"Laboratory of Telecommunications, Networks and Service Systems, National Institute of Posts and Telecommunications, Rabat, Morocco; Laboratory of Telecommunications, Networks and Service Systems, National Institute of Posts and Telecommunications, Rabat, Morocco; Laboratory of Telecommunications, Networks and Service Systems, National Institute of Posts and Telecommunications, Rabat, Morocco",2016 4th IEEE International Colloquium on Information Science and Technology (CiSt),,2016,,,806,811,"A smart city is emerging as an application of information and communication technologies to mitigate the problems generated by the urban population growth. One of the smart city solutions is to establish an efficient fleet management relating to the use of a fleet of vehicles (e.g., ambulances and police vehicles). The most basic function in a fleet management system is the real time vehicle tracking component. This component is usually the Differential Global Positioning System (DGPS) or the integration of Global Positioning System (GPS) and Inertial Navigation Systems (INS). To predict the position, the Extended Kalman Filter (EKF) is generally applied using the sensor's measures and the GPS position as a helper. However, the DGPS high cost solution still suffers from GPS satellite signals loss due to multipath errors and the INS require more complex computing. Furthermore, the EKF performance depends on the vehicle dynamic variations and may quickly diverge because of environment changes (i.e, GPS failures by obstructions from building and trees). In this paper, we present a robust low cost approach using EKF and neural networks (NN) with Genetic Algorithm (GA) to reliably estimate the real time vehicle position using GPS enhanced with low cost Dead Reckoning (DR) sensors. While GPS signals are available, we train the NN with GA on different dynamics and outage times to learn the position errors so we can correct the future EKF predictions during GPS signal outages. We obtain empirically an improvement of up to 95% over the simple EKF predictions in case of GPS failures.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7804998,data fusion;Extended Kalman Filter;Global Positioning System;intelligent transportation systems;smart cities;Dead Reckoning;low cost;neural networks;Genetic Algorithm,Global Positioning System;Vehicles;Artificial neural networks;Genetic algorithms;Sensors;Kalman filters;Vehicle dynamics,genetic algorithms;Global Positioning System;intelligent transportation systems;Kalman filters;learning (artificial intelligence);neural nets;nonlinear filters;smart cities,GPS failures;GPS signal outages;EKF predictions;position errors;NN training;low cost dead reckoning sensors;genetic algorithm;EKF;neural networks;GPS position;global positioning system;vehicle tracking component;fleet management;urban population growth;information and communication technologies;evolutionary machine learning;extended Kalman filter;smart city;real time car positioning,,,15,,,,,IEEE,IEEE Conferences,,,,,,
IoT based air pollution monitoring and predictor system on Beagle bone black,N. S. Desai; J. S. R. Alex,"School of Electronics Engineering, VIT University, Chennai Campus, Vandalur-Kelambakkam Road, Chennai, India; School of Electronics Engineering, VIT University, Chennai Campus, Vandalur-Kelambakkam Road, Chennai, India",2017 International Conference on Nextgen Electronic Technologies: Silicon to Software (ICNETS2),,2017,,,367,370,Urban air pollution rate has grown to alarming state across the India. Most of the cities are facing issue of poor air quality which fails to meet standards of air for good health. It is indeed necessary to develop an air pollution measurement and prediction system for a smart city. This proposed work acquires carbon dioxide and carbon monoxide level in the air along with Global Positioning System (GPS) location by using pollution detection sensor and uploads into Azure cloud services. Low cost embedded Beagle bone board along with gas sensors are used for data acquisition. Microsoft's Azure Machine learning service is used to predict the pollution metrics with the help of previous data. Processed data is fetched and represented by Power BI tool. Calibrated gas sensor data is fetched from sensors and successfully uploaded into cloud. Data stored in cloud is utilized by different cloud services to make the data meaningful. Proposed system is implemented and useful to monitor and reduce the pollution in a smart city by avoiding the pollution causes.,,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8067962,Beagle Bone;Data Acquisition;Android Application;Power BI tool;Gas Sensor;Smart city,Bones;Cloud computing;Air pollution;Monitoring;Atmospheric measurements;Pollution measurement,air pollution;air pollution measurement;data acquisition;environmental science computing;gas sensors;Global Positioning System;Internet of Things;learning (artificial intelligence);sensors,different cloud services;calibrated gas sensor data;processed data;previous data;pollution metrics;Microsoft's Azure Machine learning service;data acquisition;gas sensors;Beagle bone board;Azure cloud services;pollution detection sensor;Global Positioning System location;carbon monoxide level;carbon dioxide;smart city;prediction system;air pollution measurement;poor air quality;alarming state;urban air pollution rate;Beagle bone black;predictor system,,4,6,,,,,IEEE,IEEE Conferences,,,,,,
RanDroid: Android malware detection using random machine learning classifiers,J. D. Koli,"Scientific Analysis Group, Defence Research & Development Organisation (DRDO), New Delhi, India",2018 Technologies for Smart-City Energy Security and Power (ICSESP),,2018,,,1,6,"The growing polularity of Android based smartphone attracted the distribution of malicious applications developed by attackers which resulted the need for sophisticated malware detection techniques. Several techniques are proposed which use static and/or dynamic features extracted from android application to detect malware. The use of machine learning is adapted in various malware detection techniques to overcome the mannual updation overhead. Machine learning classifiers are widely used to model Android malware patterns based on their static features and dynamic behaviour. To address the problem of malware detection, in this paper we have proposed a machine learning-based malware detection system for Android platform. Our proposed system utilizes the features of collected random samples of goodware and malware apps to train the classifiers. The system extracts requested permissions, vulnerable API calls along with the existence of app's key information such as; dynamic code, reflection code, native code, cryptographic code and database from applications, which was missing in previous proposed solutions and uses them as features in various machine learning classifiers to build classification model. To validate the performance of proposed system, ""RanDroid"" various experiments have been carriedout, which show that the RanDroid is capable to achieve a high classification accuracy of 97.7 percent.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8376705,Android Mobile Security;Malware Analysis;Machine Learning,Malware;Feature extraction;Smart phones;Androids;Humanoid robots;Machine learning;Cryptography,Android (operating system);application program interfaces;cryptography;invasive software;learning (artificial intelligence);mobile computing;pattern classification;smart phones,random machine learning classifiers;malicious applications;Android platform;cryptographic code;RanDroid;malware detection techniques;Android malware detection,,,21,,,,,IEEE,IEEE Conferences,,,,,,
Using big data analytics and IoT principles to keep an eye on underground infrastructure,J. Lieberman; A. Leidner; G. Percivall; C. Rönsdorf,"Tumbling Walls, Newton, MA; Fund for the City of New York, New York, NY; Open Geospatial Consortium, Wayland, MA; Ordnance Survey Southampton, Hampshire, UK",2017 IEEE International Conference on Big Data (Big Data),,2017,,,4592,4601,"A Concept Development Study by the Open Geospatial Consortium (OGC) has highlighted the importance of high-quality feature data for underground urban infrastructure (UGI). Analysis of large survey datasets, including both visual and non-visual methods, is essential for creating and maintaining UGI geodata. Connecting hidden features with diverse, high-velocity sensing streams and realistic predictive models that effectively characterize them is key to lower construction costs, efficient infrastructure operation, sound disaster preparedness, and new smart city services. IoT principles that combine OGC geodata and Sensor Web observation standards may offer the best chance for working towards functional “digital twins” of such hidden infrastructure that are both cost effective and scalable with the increasing complexity and instrumentation of the underground built environment. Technical and policy challenges remain, however, before this can be achieved.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8258503,infrastructure;underground;utility;network;geospatial;sensing;iot,Maintenance engineering;Data models;Monitoring;Smart cities,Big Data;data analysis;data visualisation;disasters;geographic information systems;geophysics computing;Internet of Things;town and country planning;Web services,Concept Development Study;Open Geospatial Consortium;high-quality feature data;underground urban infrastructure;nonvisual methods;UGI geodata;hidden features;diverse velocity sensing streams;high-velocity sensing streams;realistic predictive models;lower construction costs;efficient infrastructure operation;sound disaster preparedness;smart city services;IoT principles;Sensor Web observation standards;functional digital twins;hidden infrastructure;underground built environment;eye;underground infrastructure;Big Data analytics;OGC geodata,,1,10,,,,,IEEE,IEEE Conferences,,,,,,
Smart Cloud Platform for Data Management in the Age of the Internet of Vehicles,N. Alsharkawy; E. Nawar; B. Mokhtar,"Alexandria University,Computer and Communications Engineering Department, Faculty of Engineering,Egypt; Alexandria University,Computer and Communications Engineering Department, Faculty of Engineering,Egypt; University of Fujairah, UAE Faculty of Engineering, Alex. University School of Engineering and Applied Sciences Nile University,College of Information Technology",2019 Novel Intelligent and Leading Emerging Sciences Conference (NILES),,2019,1,,9,12,"Smart cars, with the emergence of the Internet of Vehicles (IoV), are expected to generate huge volumes of data at rates that typical data management systems will not be able to handle. Such data can be extremely useful to both analytics and machine learning applications. This paper discusses and demonstrates the process of architecting and building a scalable data management system for the IoV in a smart city environment, using Apache Spark, Apache Kafka and Apache Cassandra, which results in a scalable, resilient and fault-tolerant data management system that facilitates performing big data analytics and scalable machine learning on IoV data.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8909318,IoV;scalable machine learning;big data analytics;smart city environment,Roads;Monitoring;Warehousing;Cluster computing;Linearity;Feeds;Databases,,,,,6,,,,,IEEE,IEEE Conferences,,,,,,
A Crowd-Based Image Learning Framework using Edge Computing for Smart City Applications,G. Constantinou; G. Sankar Ramachandran; A. Alfarrarjeh; S. H. Kim; B. Krishnamachari; C. Shahabi,"IMSC, University of Southern California; CCI, University of Southern California; IMSC, University of Southern California; IMSC, University of Southern California; CCI, University of Southern California; IMSC, University of Southern California",2019 IEEE Fifth International Conference on Multimedia Big Data (BigMM),,2019,,,11,20,"Smart city applications covering a wide area such as traffic monitoring and pothole detection are gradually adopting more image machine learning algorithms utilizing ubiquitous camera sensors. To support such applications, an edge computing paradigm focuses on processing large amount of multimedia data at the edge to offload processing cost and reduce long-distance traffic and latency. However, existing edge computing approaches rely on pre-trained static models and are limited in supporting diverse classes of edge devices as well as learning models to support them. This research proposes a novel crowd-based learning framework which allows edge devices with diverse resource capabilities to perform machine learning towards the realization of image-based smart city applications. The intelligent retraining algorithm allows sharing key visual features to achieve a higher accuracy based on the temporal and geospatial uniqueness. Our evaluation shows the trade-off between accuracy and the resource constraints of the edge devices, while the model re-sizing option enables running machine learning models on edge devices with high flexibility.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8919418,Edge Devices;Smart Cities;Machine Learning;Crowdsourcing;Crowd-based Learning,Servers;Image edge detection;Media;Feature extraction;Data models;Computational modeling;Performance evaluation,distributed processing;learning (artificial intelligence);smart cities,ubiquitous camera sensors;edge computing paradigm;edge computing approaches;image-based smart city applications;machine learning models;crowd-based image learning framework;image machine learning algorithms;intelligent retraining algorithm,,1,42,,,,,IEEE,IEEE Conferences,,,,,,
Study on Case-Based Reasoning-Inspired Approaches to Machine-Learning,T. Zhe; C. Jian; X. Huicheng,"Dalian Naval Acad., Dalian, China; Dalian Naval Acad., Dalian, China; Dalian Naval Acad., Dalian, China","2015 International Conference on Intelligent Transportation, Big Data and Smart City",,2015,,,760,763,"This commentary briefly reviews work on the application of case-based reasoning (CBR) to the design and construction of machine-learning approaches and computer-based teaching systems. The CBR cognitive model is at the core of constructivist learning approaches such as Goal-Based Scenarios and Learning by Design. Case libraries can play roles as intelligent resources while learning and frameworks for articulating one understands. More recently, CBR techniques have been applied to design and construction of simulation-based learning systems and serious games. The main ideas of CBR are explained and pointers to relevant references are provided, both for finished work and on-going research.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7384138,Case-based Reasoning;Machine-learning;Design,Transportation;Big data;Smart cities,case-based reasoning;cognition;computer aided instruction;learning (artificial intelligence),serious game;simulation-based learning system;CBR technique;constructivist learning approach;CBR cognitive model;computer-based teaching system;machine-learning approach;case-based reasoning-inspired approach,,1,24,,,,,IEEE,IEEE Conferences,,,,,,
Building TensorFlow Applications in Smart City Scenarios,D. Mulfari; A. Longo Minnolo; A. Puliafito,"CIAM, Univ. of Messina, Messina, Italy; CIAM, Univ. of Messina, Messina, Italy; CIAM, Univ. of Messina, Messina, Italy",2017 IEEE International Conference on Smart Computing (SMARTCOMP),,2017,,,1,5,"Nowadays, visual object recognition is one of the key applications for computer vision and deep learning techniques. With the recent development in mobile computing technology, many deep learning framework software support Personal Digital Assistant systems, i.e., smart phones or tablets, allowing developers to conceive innovative applications. In this work, we intend to employ such ICT strategies with the aim of supporting the tourism in an art city: for these reasons, we propose to provide tourists with a mobile application in order to better explore artistic heritage within an urban environment by using just their smartphone's camera. The software solution is based on Google TensorFlow, an innovative deep learning framework mainly designed for pattern recognition tasks. The paper presents our design choices and an early performance evaluation.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7946991,,Machine learning;Smart phones;Urban areas;Mobile communication;Visualization;Software;Object recognition,art;computer vision;history;learning (artificial intelligence);mobile computing;object recognition;public administration;public domain software;smart cities;smart phones;travel industry,smart city scenarios;visual object recognition;computer vision;deep learning;mobile computing;personal digital assistant systems;smart phones;tablets;tourism;artistic heritage;Google TensorFlow;pattern recognition,,3,10,,,,,IEEE,IEEE Conferences,,,,,,
Mal-Warehouse: A Data Collection-as-a-Service of Mobile Malware Behavioral Patterns,V. Kouliaridis; K. Barmpatsalou; G. Kambourakis; G. Wang,"Dept. of Inf. & Commun. Syst. Eng., Univ. of Aegean, Mytilene, Greece; Centre for Inf. & Syst., Univ. of Coimbra, Coimbra, Portugal; Dept. of Inf. & Commun. Syst. Eng., Univ. of Aegean, Mytilene, Greece; Sch. of Comput. Sci. & Educ. Software, Guangzhou Univ., Guangzhou, China","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2018,,,1503,1508,"Smartphones are pervasively used in many everyday life extents, and have been both targets and victims of malware. While there are many anti-malware applications available in mobile markets, so far there are no public services that collect mobile usage data, so as to observe malware effects on mobile devices. The main contribution of this paper is the Mal-warehouse, an open-source tool performing data collectionas-a-service for Android malware behavioral patterns. During its initial development and experimentation phase, the tool extracts mobile device statistics, including CPU, memory and battery usage, process reports, and network statistics for 14 Android malware applications from a target device. It then stores them in a classified manner on a cloud database. Despite the fact that the work at hand is still in an early stage, the detection model is enhanced with a preliminary detection module. Machine learning techniques are used as a proof-of-concept so as to evaluate the detection capabilities of the detection model, when compared to a clean snapshot of the target device. Mal-warehouse is publicly available, meaning that anyone can download and use it locally and then upload their findings to the cloud service for further evaluation and processing by others.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560238,Malware Detection;Mobile Malware;Machine Learning;Data Collection;Android;Behavioral Patterns,,invasive software;learning (artificial intelligence);mobile computing;smart phones,Mal-warehouse;everyday life extents;mobile markets;public services;mobile usage data;malware effects;mobile devices;open-source tool;data collectionas-a-service;Android malware behavioral patterns;initial development;battery usage;network statistics;target device;detection model;preliminary detection module;detection capabilities;cloud service;Android malware applications;mobile device statistics;antimalware applications;machine learning techniques,,,35,,,,,IEEE,IEEE Conferences,,,,,,
The Study of Web Service Discovery: A Clustering and Differential Evolution Algorithm Approach,Z. Huang; W. Zhao,Shaanxi Normal University; Shaanxi Normal University,2019 IEEE 21st International Conference on High Performance Computing and Communications; IEEE 17th International Conference on Smart City; IEEE 5th International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2019,,,2618,2622,"With the rapid development of the Internet, the number of web services has a significant increase, providing various types of online services available today. However, finding the target web service in a quick and accurate method to meet the needs of users is becoming the major problem of the service discovery. In this study, we proposed a new method of web service discovery, which is based on the clustering and differential evolution algorithm. To carry out our study, firstly, we clustered the service set and identified the most similar class to narrow down the searching scope by calculating the semantic similarity between each class and the query. Second, the similarities of each service in the target class to the query are calculated by using different measurement methods, including Cosine similarity, Euclidean distance, Manhattan distance, Chebyshev distance and Bray Curtis distance. These results are used as the input of the differential evolution algorithm for our iterative simulation. Our findings show that compared with the traditional methods, our proposed approach that integrates the benefits of the clustering and differential evolution algorithm has a lower error, and is more consistent with the users' requirements. More importantly, relevant web services can be retrieved more efficiently and accurately.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855382,Service Discovery;Clustering;Differential Evolution Algorithm,Clustering algorithms;Web services;Semantics;Machine learning algorithms;Euclidean distance;Chebyshev approximation,evolutionary computation;pattern clustering;query processing;Web services,differential evolution algorithm;similar class;semantic similarity;target class;Web service discovery;measurement methods;clustering approach;Cosine similarity;Euclidean distance;Manhattan distance;Chebyshev distance;Bray Curtis distance,,,23,,,,,IEEE,IEEE Conferences,,,,,,
Telco Big Data: Current State & Future Directions,C. Costa; D. Zeinalipour-Yazti,"Dept. of Comput. Sci., Univ. of Cyprus, Nicosia, Cyprus; Dept. of Comput. Sci., Univ. of Cyprus, Nicosia, Cyprus",2018 19th IEEE International Conference on Mobile Data Management (MDM),,2018,,,11,14,"A Telecommunication company (Telco) is traditionally only perceived as the entity that provides telecommunication services, such as telephony and data communication access to users. However, the radio and backbone infrastructure of such entities spanning densely most urban spaces and widely most rural areas, provides nowadays a unique opportunity to collect immense amounts of data that capture a variety of natural phenomena on an ongoing basis, e.g., traffic, commerce and mobility patterns and user service experience. The ability to perform analytics on the generated big data within tolerable elapsed time and share it with key smart city enablers (e.g., municipalities, public services, startups, authorities, and companies), elevates the role of Telcos in the realm of future smart cities from pure network access providers to information providers. In this talk, we overview the state-of-the-art in Telco big data analytics by focusing on a set of basic principles, namely: (i) real-time analytics and detection; (ii) experience, behavior and retention analytics; (iii) privacy; and (iv) storage. We also present experiences from developing an innovative such architecture and conclude with open problems and future directions.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411256,Telco;Telecommunication;Big Data;Queries;Analytics;Storage;Privacy,Big Data;Seminars;Distributed databases;Real-time systems;Computer science;Data privacy;Spatiotemporal phenomena,Big Data;data analysis;smart cities;telecommunication services,Telecommunication company;telecommunication services;data communication access;Telco big data analytics;smart city,,1,30,,,,,IEEE,IEEE Conferences,,,,,,
Deep Multisensor Dashboard for Composition Layer of Web of Things in the Smart City,S. Sanaei; B. Majidi; E. Akhtarkavan,"Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran; Department of Computer Engineering, Khatam University, Tehran, Iran",2018 9th International Symposium on Telecommunications (IST),,2018,,,211,215,"The application of sensor networks in control and management of smart cities are increasing rapidly. The Internet of Things (IoT) platforms are becoming a major infrastructure component of the smart cities. The requirement for development of Web of Things (WoT) architectures and patterns have significant importance for optimal management and decision support in the smart city. Due to the fact that the sensor networks in even a small city produce a very large amount of data, manual interpretation of this data is not feasible. In recent years machine learning algorithms such as deep learning give the computer systems the ability to interpret and annotate this big data stream and to produce patterns which can help decision makers. This high-level interpretation is often presented in form of dashboards in the composition layers of the WoT. In this paper a deep learning based multisensor dashboard for decision support in the smart city is presented. The proposed dashboard is capable of interpretation and decision level fusion on sensor network data. Simulation results show that the proposed model is a suitable solution for making decisions in the IoT framework for the smart city.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661092,Web of Things;Composition Layer;Internet of Things;Smart City;Deep Learning,Smart cities;Neural networks;Visualization;Robot sensing systems;Deep learning;Cameras,decision making;decision support systems;Internet of Things;learning (artificial intelligence);sensor fusion;smart cities,smart city;sensor networks;decision support;sensor network data;deep multisensor dashboard;composition layer;Web of Things;Internet of Things;WoT architecture;deep learning based multisensor dashboard;decision level fusion,,4,21,,,,,IEEE,IEEE Conferences,,,,,,
Cloud Based Big Data Analytics for Smart Future Cities,Z. Khan; A. Anjum; S. L. Kiani,"Univ. of the West of England, Bristol, UK; Univ. of Derby, Derby, UK; Univ. of the West of England, Bristol, UK",2013 IEEE/ACM 6th International Conference on Utility and Cloud Computing,,2013,,,381,386,"ICT is becoming increasingly pervasive to urban environments and providing the necessary basis for sustainability and resilience of the smart future cities. Often ICT tools for a smart city deal with different application domains e.g. land use, transport, energy, and rarely provide an integrated information perspective to deal with sustainability and socioeconomic growth of the city. Smart cities can benefit from such information using Big, and often real-time cross-thematic, data collection, processing, integration and sharing through inter-operable services deployed in a Cloud environment. However, such information utilisation requires appropriate software tools, services and technologies to collect, store, analyse and visualise large amounts of data from the city environment, citizens and various departments and agencies at city scale. This paper presents a theoretical perspective on the smart cities focused Big data processing and analysis by proposing a Cloud-based analysis service that can be further developed to generate information intelligence and support decision-making in smart future cities context.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6809436,,Cities and towns;Cloud computing;Information management;Data handling;Data storage systems;Decision making;Smart phones,Big Data;cloud computing;data integration;open systems;socio-economic effects;sustainable development,cloud-based Big Data analytics;ICT tools;pervasive environments;urban environments;smart future city sustainability;smart future city resilience;integrated information;sustainability;socioeconomic growth;cross-thematic data;data collection;data processing;data integration;data sharing;interoperable services;software tools;software services;software technologies;data analysis;data storage;data visualisation;city environment;cloud-based analysis service;information intelligence generation;decision-making,,63,28,,,,,IEEE,IEEE Conferences,,,,,,
Robust Feature Selection for IM Applications at Early Stage Traffic Classification Using Machine Learning Algorithms,M. Shafiq; X. Yu; D. Wang,"Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Sch. of Comput. Sci. & Technol., Harbin Inst. of Technol., Harbin, China; Nat. Comput. Network Emergency Response Tech. Team Coordination Center of China, China",2017 IEEE 19th International Conference on High Performance Computing and Communications; IEEE 15th International Conference on Smart City; IEEE 3rd International Conference on Data Science and Systems (HPCC/SmartCity/DSS),,2017,,,239,245,"Identification of network traffic accurately at its early stage is very important for network traffic management and application traffic classification. In recent years, this becomes very hot topic to identify traffic at its early stage. Unidirectional and bidirectional statistical features are effective features and widely used in Internet traffic classification. However, it is important to evaluate and select effective features for Instant Messaging (IM) application traffic classification at early stage. In this paper we are interested to find out robust and effective features at early stage. We firstly extract 22 statistical features of the first flow on two different network environment traffic datasets include on HIT and NIMS datasets. Then mutual information is conducted between the extract statistical features to select the effective features. Additionally to select robust features, we execute attribute selection cfsSubsetEval with Best search evaluator that select the robust and stable features from the result achieved by mutual information. And then, we execute 10 well-known machine learning classifiers. Our experimental results show that max_fpktl, std_bpktl, max_biat, mean_fpktl, mean_bpktl and min_biat feature are robust features at early stage traffic classification.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291934,Robust; Effective Feature Selection; IM WeChat; Traffic Classification; Machine Learning.,Feature extraction;Robustness;Mutual information;Instant messaging;Telecommunication traffic;Entropy,electronic messaging;feature selection;Internet;learning (artificial intelligence);pattern classification;statistical analysis;telecommunication traffic,IM applications;early stage traffic classification;network traffic management;bidirectional statistical features;Internet traffic classification;Instant Messaging application traffic classification;feature selection;network environment traffic datasets;Machine Learning Algorithms;Unidirectional statistical features,,,29,,,,,IEEE,IEEE Conferences,,,,,,
Design of Automatic Identification Gateway System for Different IoT Devices and Services,L. Hyun-seong; L. Jae-gwang; L. Jae-pil; L. Jae-kwang,"Dept. of Comput. Eng., Hannam Univ., Daejeon, South Korea; Dept. of Comput. Eng., Hannam Univ., Daejeon, South Korea; Dept. of Comput. Eng., Hannam Univ., Daejeon, South Korea; Dept. of Comput. Eng., Hannam Univ., Daejeon, South Korea","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2018,,,2022,2025,"The laboratory safety management system is a system that can predict the risk situation and monitor the safety status. In order to predict and monitor the risk situation of the laboratory, various sensors that can detect various harmful elements are needed. There is an inconvenience because it is possible to check and manage the status of each device only through its own application with different manufacturers. Identification and service identification of each device in a laboratory safety management system to which many sensor devices are connected is an important management, security and operational function. The fingerprinting method is used to identify devices in existing routers or gateways. Recently, research has been conducted on applying a machine learning algorithm to solve the disadvantage of being limited to a known device of a fingerprinting method. However, there is a lack of research on fingerprinting for IoT devices such as sensor devices. In this paper, we propose a system that automatically identifies and services IoT devices in a gateway by applying a machine learning algorithm to the fingerprinting analysis method.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560316,"Device Fingerprinting, Random Forest, IoT, Gateway",,computer network security;Internet of Things;learning (artificial intelligence),automatic identification gateway system;laboratory safety management system;risk situation;safety status;service identification;sensor devices;operational function;fingerprinting method;gateways;IoT devices;machine learning algorithm;IoT services;management function;security function,,,9,,,,,IEEE,IEEE Conferences,,,,,,
Autonomous Vehicle as an Intelligent Transportation Service in a Smart City,I. Lin; C. Lin; H. Hung; Q. Cui; K. Chen,"Grad. Inst. of Commun. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Grad. Inst. of Commun. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Grad. Inst. of Commun. Eng., Nat. Taiwan Univ., Taipei, Taiwan; Beijing Univ. of Posts & Telecommun., Beijing, China; Univ. of South Florida, Tampa, FL, USA",2017 IEEE 86th Vehicular Technology Conference (VTC-Fall),,2017,,,1,7,"Autonomous vehicles (AVs) and crowdsourcing big data analytics may dramatically change future intelligent transportation in smart cities. AVs may evolve more like a service than a product. To provide best user experience of such service, three primary factors including waiting time, travel time, and supply of AVs are taken into consideration to for multi-objective optimization facilitated in three steps. With the queueing network model and traffic flow analysis, optimal operation of service could be achieved with minimum average travel time. The optimal number of available AVs could be identified while guaranteeing the waiting time of customers. To manage the supply and demand of the service in each geographical area, bipartite graph matching is adopted to accomplish optimal resource allocation. It is further shown that the optimization of operation of autonomous vehicle fleet can be successfully achieved, to outperform what human- driving vehicles can possibly do. A new intelligent transportation paradigm of great energy saving emerges.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8288315,,Roads;Optimization;Switches;Smart cities;Queueing analysis;Servers,automobiles;Big Data;data analysis;graph theory;intelligent transportation systems;optimisation;queueing theory;resource allocation;road traffic;smart cities,smart city;big data analytics;user experience;primary factors;multiobjective optimization;queueing network model;traffic flow analysis;optimal operation;minimum average travel time;optimal number;waiting time;optimal resource allocation;autonomous vehicle fleet;intelligent transportation paradigm;intelligent transportation service;geographical area;bipartite graph matching;AV,,2,25,,,,,IEEE,IEEE Conferences,,,,,,
Autonomous UAV forced graffiti detection and removal system based on machine learning,P. Nahar; K. Wu; S. Mei; H. Ghoghari; P. Srinivasan; Y. Lee; J. Gao; X. Guan,"Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA; Department of Computer Engineering, San Jose State University, USA","2017 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computed, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)",,2017,,,1,8,"This paper proposes a smart graffiti clean-up system based on an autonomous Unmanned Aerial Vehicle (UAV) platform. This smart clean system is based on edge detection and machine learning algorithms to realize the detection and tracking of graffiti image in real time. In Graffiti detection, we aim to build a model to detect graffiti on walls which can help navigate the UAV to the correct coordinate and estimate the area of the graffiti. The data set which contain graffiti images are trained using machine learning techniques which will be used for the detections of the graffiti patterns. This will automate the process of detecting the location of the graffiti based on the edge detection technique and the model will be able to estimate the area of the graffiti. To achieve obstacle detection, and collision, a smart navigation approach is also proposed with the help of LiDAR and external camera. The overall graffiti cleanup system contains hardware and software that allow the user to use spray enamel with the reach and scale of an autonomous UAV.",,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8397582,Smart city;UAV application system;machine learning;graffiti detection and removal,Unmanned aerial vehicles;Protocols;Streaming media;Navigation;Software;Aerospace control;Payloads,autonomous aerial vehicles;cameras;collision avoidance;edge detection;learning (artificial intelligence);mobile robots;navigation;object detection;robot vision,graffiti patterns;edge detection technique;graffiti cleanup system;autonomous UAV;navigation approach;graffiti detection system;graffiti removal system;autonomous unmanned aerial vehicle platform;graffiti image tracking;machine learning algorithms;lidar camera;collision,,,13,,,,,IEEE,IEEE Conferences,,,,,,
