Title,Publication Year,Abstract,DOI
A model for adaptive accessibility of everyday objects in smart cities,2016,"This paper proposes a model that exploits the Internet of Things in the urban environment to promote the accessibility to physical real-world objects especially to those with special needs. The approach is primarily based on connecting and sharing data about accessibility requirements and real-world environment data. The approach is also founded on annotating physical objects, and adapting the interaction with the virtual side of cyber-physical objects in order to make physical objects accessible in a smart environment via smart devices. We define and build our model as an extension of previous research results in order to facilitate interaction with everyday objects and promote quality of life for those with special needs.",10.1109/PIMRC.2016.7794583
A spectrum-based adaptive sampling algorithm for smart sensing,2017,The ever-increasing diffusion of smart pervasive systems has brought to attention the need to optimally manage available energy as well as the request for more general intelligent functionalities. In this direction the paper presents a novel spectrum-based change detection test (CDT) designed to be executed on low-power embedded devices. By exploiting the energy-based features extracted from spectral sub-bands the CDT detects changes in time variance in the incoming signal (reactions to the change might follow) as well as disambiguates between changes and aliasing phenomena. When aliasing is detected an adaptation mechanism is activated to adapt the sampling frequency to the real needs of the signal under inspection (so as to reduce energy consumption). This algorithm enhances the state-of-the-art of adaptive sampling by offering an efficient alternative to complete spectral investigation. The effectiveness of the proposed solution has been assessed on synthetic and real datasets.,10.1109/UIC-ATC.2017.8397444
A Crowd-Sourced Adaptive Safe Navigation for Smart Cities,2017,"There has been a lot of work on finding safest path from source to destination. However, all these works mainly rely on the crime data available through government sources. The works are missing many important factor that affect safety of a route. In this work, we first propose safety measurement score and then show how it can be used for safe navigation. We proposed a comprehensive safety measure that adapts with time according to the user feedback and online crowd-sourced information. We have developed a complete end-to-end system to demonstrate efficacy of the proposed framework.",10.1109/ISM.2017.77
iQAS: An integration platform for QoI assessment as a service for smart cities,2016,"While reducing costs and improving sustainability, a common goal for Smart Cities is to become more “liveable” for their citizens. By taking advantage of new information sources offered by the Internet of Things (IoT), cities can rely on sensing platforms to improve their service offer. These sensing platforms, however, raise new research challenges, in particular regarding Quality of Information (QoI). To cope with this issue, common platforms generally provide quality-oriented internal mechanisms. Nevertheless, the configuration of such platforms is complex, especially for Smart City stakeholders that may have various skill levels and different areas of expertise. As a result, QoI assessment is often delegated to end applications where developers have to implement their own adaptation mechanisms. This paper proposes and describes iQAS, an integration platform for QoI Assessment as a Service for Smart Cities. iQAS is autonomic, extensible and configurable, allowing Smart City stakeholders to collaboratively assess and improve (when possible) QoI in real-time. While the platform development is at its early stages, we illustrate within a concrete case study the need for QoI assessment and the benefits to implement adaptation mechanisms.",10.1109/WF-IoT.2016.7845400
Self-adaptive and resilient urban networking infrastructure for disasters and smart city services,2017,"When a disaster strikes a city, conventional information networking infrastructure can be damaged or completely lost, leading to suffering or loss of life. These consequences are avoidable with the introduction of an urban networking fabric for emergency services. We describe here an overall design for a Network for Urban Emergency Services (NUES) that provides essential communication services during disasters and post-disaster recovery. The core of NUES is a dense wireless networking fabric composed of low-cost wireless nodes. Because each node is autonomously powered, and NUES takes advantage of satellite networking services, the overall NUES architecture can be independent of all other (conventional) infrastructure, depending only on users' battery-powered devices (such as cell phones or tablets) and satellite data services. But it also has the ability to exploit conventional infrastructure (in particular cellular wireless) to reduce cost and provide greater bandwidth to users. Since some NUES nodes themselves may be damaged or lost, NUES is also designed for resilience, with redundant nodes connected by a self-healing network. Due to its dense coverage and modular node architecture, NUES also provides smart city sensing services the year around, greatly increasing its cost efficiency.",10.1109/BigData.2017.8258424
Data driven reference architecture for smart city ecosystems,2017,"With the convergence of information and telecommunication technologies, the vision of the `Smart City' is fast becoming a reality. City governments in a growing number of countries are capitalizing on these advances to enhance the lives of their citizens and to increase efficiency and sustainability. In this paper, we elaborate on smartCityRA, a reference architecture for Smart City projects, which serves as the design language for creating smart cities blueprints. Such a blueprint caters for diverse stakeholders, devices, platforms, and technologies. We report on our experience in carrying out a proof-of-concept use case with a major telecommunication provider in the UAE. In doing so, we refined our multiple-view model of the initial smartCityRA reference architecture. We show that Data in smart city applications drive the entire development lifecycle and should be considered early in the development cycle. In addition, Data affects all the other views in the smartCityRA and hence the Data View needs to be at the heart of the entire smartCityRA. Realizing the Data view using a component like a Data Hub helped in creating a central integration location for disparate data from different sources, thus reliving developers from dealing with several entities individually. Finally, we show that any smart city reference architecture, like smartCityRA, should be at the right level of abstraction to enable the flexibility of adoption and adaptation by different stakeholders and components.",10.1109/UIC-ATC.2017.8397556
A context model development process for smart city operations,2015,"Systems enabling smart city operations are highly adaptive complex systems that pose great challenges in their development and operation. Current user-driven techniques for system domain modeling and requirements engineering are not adequate for supporting the development of such systems. In this paper, we propose a development process and an environment-driven modeling approach for the Requirement Engineering Context Awareness methodology to be used for smart city applications. To this end, we propose the use of ontologies to build the environment context model. We show that the environment dimension is the most important dimension of context with the highest impact of changes in a dynamic context. We illustrate our approach by presenting an ontology-based context model of I-Parking. We present dynamic models of typical scenarios of interactions. We propose our approach as an important step in developing highly adaptive context-aware systems for smart city operations where uncertainty and changing conditions in the environment need to be carefully modeled and addressed.",10.1109/SOLI.2015.7367605
An adaptive system architecture for devising adaptive user interfaces for mobile ERP apps,2017,"The mobile ERP model can enrich the research on smart city concept with an ICT application that can enhance the sustainability and the quality of business life for enterprises' employees, and economic prosperity for people. Presently, this model has become a core requirement for enterprises that have ERP systems, due to the benefits that can be reaped from it. However, this model suffers from poor usability, due to the usability challenges that are inherited from ERP systems, and the mobile context of use. Adaptive user interfaces (AUIs) were exploited in numerous research works as a means to improve the usability of software applications by addressing their usability challenges through these types of UIs. However, a knowledge gap was identified in finding an appropriate adaptive system architecture that can support the adaptation processes in AUIs for mobile ERP apps. Therefore, this paper aims to bridge this gap by presenting an adaptive system architecture that can enable the automatic adaptation for the UIs' components of mobile ERP apps according to the context of use.",10.1109/IT-DREPS.2017.8277812
A cyber-physical system approach to smart city development,2017,"In the contemporary era, the world is confronting numerous challenges that should be dealt with in the near future like effective management of energy, necessity for economic development, reducing environmental challenges, quality and security of life of its inhabitants. The growing concentration of the global inhabitants into towns and cities puts the urban areas in the center of the concerns and make them vital stakeholders for the viable growth strategy of the world. Consequently, Cyber-physical systems (CPS) can play a significant role in their adaptation to smart cities applications and projects. This paper aims to give an overview of the smart city concept and emerging technologies in this area and a brief explanation of cyber-physical systems. It then highlights the potential role of CPS in the development of smart city applications and includes some actual examples of the adaptation of CPS to smart city projects. The paper then outlines some advantages of the CPS in this context and discusses potential challenges. The paper also offers a research agenda for the future.",10.1109/ICSGSC.2017.8038587
Citizens as sensors: The cognitive city paradigm,2011,"Intelligent/smart cities have been touted as one of the solutions to the challenges of ever increasing complexities faced by present and future urban environments. Leveraging information technology to allow better demand and supply management of key urban infrastructure system offer immense opportunities for efficiency and quality of service improvements in urban services. In this paper, we argue that implementing sensor networks are a necessary but not sufficient approach to improving urban living. Building on the concept of the cognitive city discussed elsewhere by the authors, this paper proposed an architectural process approach that allows city decision-makers and service providers to integrate cognition into urban processes. Cognition is the ability of a system to learn from previous experiences and adapt its behavior based on them. A cognitive system is able to sense, perceive and respond to changes in the environment and can therefore improve a system's performance by increasing its adaptive capacity.",10.1109/CEWIT.2011.6135861
An adaptive I-Parking application: An ontology-based approach,2016,"Complex adaptive systems are in the heart of smart city operations. Developing such systems is very challenging. Current user-driven techniques for modeling the system domain are not sufficient for supporting the development of such systems. Additionally, in the majority of cases, existing work focused on user interface adaptation without considering content personalization. In this paper, we propose the use of ontologies for dealing with the adaptation issue, while taking into consideration both content and container of the interface. To this end, we extend the model that was proposed in our previous work, and that focused only on modeling the “Environment” dimension, by adding three other dimensions, namely, “Devices”, “Users”, and “Services” (EDUS). We validate our proposal on an I-Parking smart phone application that offers personalized and context-aware information to the users.",10.1109/FTC.2016.7821692
Knowledge lifecycle and smart cities learning position paper for DUBAI 2020: Smart city learning,2014,"This paper is mainly concerned with the strong relation between knowledge Society and Smart Cities. KS allows SC to deploy and materialize all its potentialities and to take advantage of all its resources for the benefit of citizens; adversely, SC offers live, advanced, first-quality knowledge resources, whilst KS ensures optimal, also unexpected, semantic retrieval and connection of existing resources. In this context, Learning has a key-role with respect to the full engagement of final users, in the double role of Citizens and qualified Human Capital for Competitiveness [1]. From the technological point of view, our approach is based on Adaptive, Knowledge-based Learning Systems, a Personal Learning and Working Environment and a general Semantic Framework. Distinctive features like Discovery of Linked Semantic Resources and Semantic Paths and Natural Language - based Semantic Retrieval and Interaction, based on Systems and tools above, are shortly presented.",10.1109/ICWOAL.2014.7009227
A smart city adaptive lighting system,2018,"This paper presents an urban smart lighting system capable to autonomously control the street lamp lighting level by exploiting data related to vehicles (bus, car, motorcycle and bike) and/or pedestrians traffic in a specific area. The system is able to set the lighting level on the basis of required needs and allows one to reduce energy costs. To this end, it makes use of local controllers, motion sensors, video-camera and electronic devices for video processing. In this way the inputs coming from the sensors is processed in order to optimally dim the lighting by applying an 1-10 V control input voltage to the fixture or driver. The control can be performed either on a decentralized fashion on each single street lamp or on a group of them. Experimental results show that with respect to a traditional street lamp system, the presented architecture allows energy saving up to 65%.",10.1109/FMEC.2018.8364076
A data lifeCycle model for smart cities,2016,"Smart Cities are the most challenging and promising technological solutions for absorbing the increasing pressure of population growth, while simultaneously enforcing a sustainable economic progress as well as a higher quality of life. Several technologies are involved in a potential Smart City deployment, although data are the fuel to achieve the demanded and mandatory smartness. Data can be obtained from multiple sources, in large quantities, and with a variety of formats, therefore, an appropriate management is critical for their effective usage. Data life cycle models constitute an effective trend towards developing an integral and efficient data management framework, from data creation to data consumption and removal. In this paper we present the Smart City Comprehensive Data LifeCycle (SCC-DLC) model, a data management architecture generated from a comprehensive scenario agnostic model, tailored for the particular scenario of Smart Cities. We define the management of each data life phase, and describe its implementation on a Smart City with Fog-to-Cloud (F2C) resources management, an architecture that combines the advantages of both cloud and fog strategies.",10.1109/ICTC.2016.7763506
Adaptive filtering as a service for smart city applications,2017,"Smart cities are a key factor in the consumption of materials and resources. As populations grow and resources become scarcer, the efficient usage of these limited goods becomes more important. Building on and integrating with a huge amount of data, the cities of the future are becoming a realization today. There are millions of sensors in place already, monitoring various things in metropolises. In the near future, these sensors will multiply until they can monitor everything from streetlights and trashcans to road conditions and energy consumption. In this context, effective strategies or solutions for refining data sets can play a key role. Based on these premises, we propose intelligent and adaptive filtering mechanisms as a service (FIlAAS) integrated in the VITAL-OS middleware and will show their feasibility and their effectiveness in the smart city context.",10.1109/ICNSC.2017.8000147
Traffic Flow Simulation Based on Adaptive Agent,2018,"This paper describes the driver's vehicle behavior as the response of an intelligent body according to the environment and situation, and describes the characteristics of macro-traffic flow through the response of each independent intelligent body, providing a basis for intelligent driving and intelligent control. First, the adaptability description is carried out with the behavior of single-lane vehicles. Three driving states are defined and their driving behaviors and decision-making rules are analyzed based on the driver's expectation objectives. The simulation is realized by using the mathematical description the Boid model method of Couzin et al.[6][7][8]. The simulation results show that the behavior change of the individual adaptive driving vehicle is completely consistent with the characteristics of the macro-traffic flow, and the cooperative characteristics of the group intelligence are presented. Individual driving vehicles show good adaptability and self-drive to the change of environment and current traffic condition. The change of individual driving behavior of the vehicle will have an impact on the adjacent local vehicle individuals. The change of traffic density affects the speed of traffic flow. Bad driving behavior will affect the speed of local or even the whole traffic flow on the road, which will lead to the closing and splitting of the vehicle queue. In serious cases, the vehicle queue will stop and stop, leading to the decrease of the road capacity.",10.1109/ICSCSE.2018.00150
A Smart City Application Modeling Framework: A Case Study on Re-engineering a Smart Retail Platform,2018,"Smart City Application Engineering is a challenging task due to the constantly evolving environment in which these applications operate and the variability of the different types of technologies that synthesize them. Therefore, flexibility and extendibility are two important quality attributes that should be taken into consideration when designing Smart City Applications. In this paper, we propose the Smart City Application Modeling Framework (SCAMF) for analyzing and designing Smart City applications that is based on the concept of Clean Architecture and adopts the representation formalism of feature models. SCAMF methodology is evaluated through a case study on a Smart Retail Platform. Quality indices like flexibility, extendibility along with metrics as complexity, cohesion and design size are compared to the initial version of the application that was completely re-engineered due to maintenance problems. The results of the study suggest that the proposed methodology improves quality indices like flexibility and extendibility up to 120%.",10.1109/SEAA.2018.00027
A framework for transforming Dubai into a smart city,2017,"Smart City is a solution to the increased globalization of cities by managing and applying ICT to all the aspects of the city such as mobility, electricity, water, energy, economy, environment, governance, health, and education to increase the quality of life for city dwellers and the future sustainability. As people started to move from rural areas into cities, cities started to have congestion, traffic, crimes, increased carbon emissions, illiteracy, and unemployment. Cities have to manage these complexities by finding smart solutions. His Highness Sheikh Mohammed Bin Rashid Al Maktoum has launched the strategy to transform Dubai into a smart city and to be ready for expo 2020 that could result in road traffic and increased tourism. Other reasons for Dubai to become a smart city are that are the business and real estate boom, because foreign investments are pouring in and many populations are coming to Dubai, so it needs to have sustainability. Dubai is in a state where it requires having sustainable energies and buildings to accept many populations. A framework is a set of principles and guidelines to prepare the right components and people, and taking the right steps and stages to achieve the outcomes. A roadmap is a vision done by stakeholders, of the final outcome of the desired project, and it takes from 10 to 50 years. A roadmap is a plan or strategy intended to achieve a particular goal. This research has studied various smart city initiatives in the world and the numerous frameworks on smart cities. An adaptive framework specifically for Dubai City has been proposed and a roadmap for its implementation has been suggested. This outcome can be used by the Government of Dubai to plan their smart city strategies.",10.1109/CTIT.2017.8259573
The Model of the Queuing System with Adaptive Traffic,2017,This paper presents a model of a queueing system with multi-service adaptive traffic. This type of low-latency traffic is one of the most dominant type of traffic in modern packet networks. The idea and operation of the model is discussed with the example of a queueing system with the FIFO service discipline.,10.1109/HPCC-SmartCity-DSS.2017.40
Using Public Private Partnership models in smart cities - proposal for Croatia,2017,"How smart is a “smart city”? According to Asian examples of newly growing smart cities, usage of technology can improve life standard and reduce cost of living, improve operational efficiency, environmental sustainability, eco-friendly infrastructure, smart technology Internet of Things (IoT), smart living and direct citizen participation in decision making process. Learning, adaptation and innovation could be the future for Croatian cities by using all mentioned, which will improve social, regulatory and safety indicators for designing a better living environment for Croatian citizens. While using Public Private Partnership (PPP) models, crowdsourcing and democratic ecologies which provide better and more efficient public services by taking advantage of private sector's “know-how”, cities will create long-term investment opportunities and sustain real time optimization strategies by providing safe and reliable place to invest. The intention of this paper is to show how the (local) government's role in PPP projects is to evaluate and approve detailed execution plans of the concessionaire while the private partner's role is to design, build, finance, and operate the facilities. In futuro, digital technologies offer numerous possibilities for citizen participation in decision making at local and regional government level.",10.23919/MIPRO.2017.7973643
A Simple and Efficient Link Adaptation Method for Narrowband Internet of Things,2019,"This paper proposes a simple and efficient link adaptation method for Narrowband Internet of Things (NB-IOT). The proposed method will perform link adaptation from two dimensions. First, the combination of the modulation and coding scheme (MCS) level and the resource unit (RU) number can select a larger transport block according to the packet size compared with the straightforward method. That will reduce the number of narrowband physical uplink shared channel (NPUSCH) and narrowband physical downlink control channel (NPDCCH) transmissions. Besides, the selected repetitions number will satisfy the requirements of the block error rate (BLER) according to the channel status. The results show that the power consumption could be decreased about 27% and spectral efficiency could be improved about 69% compared with the straightforward method.",10.1109/HPCC/SmartCity/DSS.2019.00365
A meta-model for including social behavior and data into smart city management simulations,2015,"Smart city management can be regarded to bridge different realms of thinking about cities, i.e. 1) the city as complex-adaptive system, 2) socio-technical operational control center and 3) multi-actor policy-making. Underpinned by different world views and theoretical bodies, integration of the three realms puts forward new demands on simulation approaches and challenges current knowledge and available technology regarding integration of sub-models across different systems. In order to support urban transportation management, a holistic approach is needed that semantically connects the three realms by incorporation of human behavior and knowledge. Combining research on knowledge management and computer science, this paper presents a novel meta-framework as socio-technical hybrid simulation language to generalize integration of simulations, gaming and data for modeling urban transportation.",10.1109/WSC.2015.7408289
