Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Comprehensive Survey on Cyber-Physical Systems Towards Healthcare 4.0","SN Computer Science","","4","2","10.1007/s42979-023-01669-5","Aditya GuptaAmritpal Singh","2023","http://link.springer.com/article/10.1007/s42979-023-01669-5","Article"
"Deep Cybersecurity: A Comprehensive Overview from Neural Network and Deep Learning Perspective","SN Computer Science","","2","3","10.1007/s42979-021-00535-6","Iqbal H. Sarker","2021","http://link.springer.com/article/10.1007/s42979-021-00535-6","Article"
"Intrusion Detection Framework in IoT Networks","SN Computer Science","","4","4","10.1007/s42979-023-01770-9","Soumya BajpaiKapil SharmaBrijesh Kumar Chaurasia","2023","http://link.springer.com/article/10.1007/s42979-023-01770-9","Article"
"Interdisciplinary Implementation of Supervised Real-Time Waste Management","SN Computer Science","","2","4","10.1007/s42979-021-00651-3","Praveen KumarRishabh JainDeepak KumarSeema Rawat","2021","http://link.springer.com/article/10.1007/s42979-021-00651-3","Article"
"Deep Learning Techniques for Smart Meter Data Analytics: A Review","SN Computer Science","","3","3","10.1007/s42979-022-01161-6","Elham EskandarniaHesham Al-AmmalRiadh KsantiniMustafa Hammad","2022","http://link.springer.com/article/10.1007/s42979-022-01161-6","Article"
"IoT Data Classifications for Smart Home Deployment","SN Computer Science","","3","1","10.1007/s42979-021-00979-w","Ashish Virendra ChandakNiranjan K. Ray","2021","http://link.springer.com/article/10.1007/s42979-021-00979-w","Article"
"Implementation of Microgrid Digital Twin System for Unmanned Vehicles with Cloud Computing Techniques","SN Computer Science","","4","5","10.1007/s42979-023-01986-9","M. Guru Vimal KumarS. KarunakaranShanker ChandreRakesh Kumar GodiP. ManirajkumarAllam Balaram","2023","http://link.springer.com/article/10.1007/s42979-023-01986-9","Article"
"Voting Classifier-Based Crop Recommendation","SN Computer Science","","4","5","10.1007/s42979-023-01995-8","Raswitha BandiM. Sai Surya LikhitS. Rajavardhan ReddySathwik Raj BodlaVempati Sai Venkat","2023","http://link.springer.com/article/10.1007/s42979-023-01995-8","Article"
"IoT-Based Smart Health Monitoring System for COVID-19","SN Computer Science","","3","2","10.1007/s42979-022-01015-1","Vaneeta BhardwajRajat JoshiAnshu Mli Gaur","2022","http://link.springer.com/article/10.1007/s42979-022-01015-1","Article"
"Benchmarking the Bagging and Boosting (B & B) Algorithms for Modeling Optimized Autonomous Intrusion Detection Systems (AIDS)","SN Computer Science","","4","5","10.1007/s42979-023-01914-x","Shreya UpadhyayaDeepti Mehrotra","2023","http://link.springer.com/article/10.1007/s42979-023-01914-x","Article"
"ANTON: Activity Recognition-Based Smart Home Control System","SN Computer Science","","2","6","10.1007/s42979-021-00824-0","Peng ZhaoPushpendu KarSaeid Pourroostaei Ardakani","2021","http://link.springer.com/article/10.1007/s42979-021-00824-0","Article"
"dLeak: An IoT-Based Gas Leak Detection Framework for Smart Factory","SN Computer Science","","3","4","10.1007/s42979-022-01181-2","Anamika RajbanshiDebanjan DasVenkanna UdutalapallyRajarshi Mahapatra","2022","http://link.springer.com/article/10.1007/s42979-022-01181-2","Article"
"An Intelligent Fault Detection Framework for HVAC Systems with Alert Generation","SN Computer Science","","4","5","10.1007/s42979-023-02107-2","Aparna SinhaAkanksha Singh PandawDebanjan Das","2023","http://link.springer.com/article/10.1007/s42979-023-02107-2","Article"
"Cybersecurity, Data Privacy and Blockchain: A Review","SN Computer Science","","3","2","10.1007/s42979-022-01020-4","Vinden WyldeNisha RawindaranJohn LawrenceRushil BalasubramanianEdmond PrakashAmbikesh JayalImtiaz KhanChaminda HewageJon Platts","2022","http://link.springer.com/article/10.1007/s42979-022-01020-4","Article"
"Federated learning to comply with data protection regulations","CSI Transactions on ICT","","10","1","10.1007/s40012-022-00351-0","Srinivasa Rao ChalamalaNaveen Kumar KummariAjeet Kumar SinghAditya SaibewarKrishna Mohan Chalavadi","2022","http://link.springer.com/article/10.1007/s40012-022-00351-0","Article"
"Properties and Characteristics of Digital Twins: Review of Industrial Definitions","SN Computer Science","","4","5","10.1007/s42979-023-01937-4","Lukas SchweigerLinard Barth","2023","http://link.springer.com/article/10.1007/s42979-023-01937-4","Article"
"Blockchain and Cryptocurrency Technology in the Saudi Arabia","SN Computer Science","","4","3","10.1007/s42979-023-01731-2","Salma ElhagSara Dirbi Alshehri","2023","http://link.springer.com/article/10.1007/s42979-023-01731-2","Article"
"A Smart Glove for Visually Impaired People Who Attend to the Elections","SN Computer Science","","2","4","10.1007/s42979-021-00709-2","Pinar Oguz EkimEcem TureSeray KarahanFulya Yenilmez","2021","http://link.springer.com/article/10.1007/s42979-021-00709-2","Article"
"Cross domain fusion for spatiotemporal applications: taking interdisciplinary, holistic research to the next level","Informatik Spektrum","","45","5","10.1007/s00287-022-01489-6","Matthias RenzPeer KrögerAgnes KoschmiderOlaf LandsiedelNelson Tavares de Sousa","2022","http://link.springer.com/article/10.1007/s00287-022-01489-6","Article"
"HRNET: AI-on-Edge for Mask Detection and Social Distancing Calculation","SN Computer Science","","3","2","10.1007/s42979-022-01023-1","Kinshuk SenguptaPraveen Ranjan Srivastava","2022","http://link.springer.com/article/10.1007/s42979-022-01023-1","Article"
"A Novel Algorithm for Optimal Trajectory Generation Using Q Learning","SN Computer Science","","4","5","10.1007/s42979-023-01876-0","Manoj KumarDevendra Kumar MishraVijay Bhaskar Semwal","2023","http://link.springer.com/article/10.1007/s42979-023-01876-0","Article"
"A Smart Indoor Parking System","SN Computer Science","","3","1","10.1007/s42979-021-00875-3","Rohit Kumar KaseraTapodhir Acharjee","2021","http://link.springer.com/article/10.1007/s42979-021-00875-3","Article"
"Distributed Intelligence in the Internet of Things: Challenges and Opportunities","SN Computer Science","","2","4","10.1007/s42979-021-00677-7","Tariq AlsbouiYongrui QinRichard HillHussain Al-Aqrabi","2021","http://link.springer.com/article/10.1007/s42979-021-00677-7","Article"
"Digital Twins, Internet of Things and Mobile Medicine: A Review of Current Platforms to Support Smart Healthcare","Programming and Computer Software","","47","8","10.1134/S0361768821080284","I. VolkovG. RadchenkoA. Tchernykh","2021","http://link.springer.com/article/10.1134/S0361768821080284","Article"
"Preliminary Step for Implementing Cognitive Internet of Things Through Software-Defined Radio","SN Computer Science","","2","4","10.1007/s42979-021-00653-1","Madhuri GummineniTrinatha Rao Polipalli","2021","http://link.springer.com/article/10.1007/s42979-021-00653-1","Article"
"A Working Prototype Using DS18B20 Temperature Sensor and Arduino for Health Monitoring","SN Computer Science","","2","1","10.1007/s42979-020-00434-2","Ramesh SahaSuparna BiswasSatyajit SarmahSushanta KarmakarPranesh Das","2021","http://link.springer.com/article/10.1007/s42979-020-00434-2","Article"
"Effective Anomaly Detection Approach to Classify Noisy Data Using Robust Noise Detection and Removal Technique in IoT Healthcare Data","SN Computer Science","","4","5","10.1007/s42979-023-01890-2","S. SubhaJ. G. R. Sathiaseelan","2023","http://link.springer.com/article/10.1007/s42979-023-01890-2","Article"
"Interoperable Digital Building Twins Through Communicating Materials and Semantic BIM","SN Computer Science","","3","1","10.1007/s42979-021-00860-w","Ana RoxinWahabou AbdouWilliam Derigent","2021","http://link.springer.com/article/10.1007/s42979-021-00860-w","Article"
"Sorter Design with Structured Low Power Techniques","SN Computer Science","","4","2","10.1007/s42979-022-01546-7","P. PreethiK. G. MohanSudeendra Kumar K.K. K. Mahapatra","2022","http://link.springer.com/article/10.1007/s42979-022-01546-7","Article"
"Development of a Virtual Reality Model Using Digital Twin for Real-Time Data Analysis","SN Computer Science","","4","5","10.1007/s42979-023-01928-5","Santosh Kumar SahooG. NalinipriyaP. Santhosh SrinivasanJ. V. N. RameshK. RamamoorthyNavya Soleti","2023","http://link.springer.com/article/10.1007/s42979-023-01928-5","Article"
"Internet of Things World: A New Security Perspective","SN Computer Science","","4","1","10.1007/s42979-022-01443-z","Jaya DofeKriti Rai Saini","2022","http://link.springer.com/article/10.1007/s42979-022-01443-z","Article"
"Enhancing Deep Reinforcement Learning with Scenario-Based Modeling","SN Computer Science","","4","2","10.1007/s42979-022-01575-2","Raz YerushalmiGuy AmirAchiya ElyasafDavid HarelGuy KatzAssaf Marron","2023","http://link.springer.com/article/10.1007/s42979-022-01575-2","Article"
"Occupancy Detection for Emergency Management of Smart Building Based on Indoor Localization","SN Computer Science","","2","6","10.1007/s42979-021-00812-4","Sarthak KhocheK. Vinay ChandrasekharG. V. K. SasirekhaJyotsna BapatDebabrata Das","2021","http://link.springer.com/article/10.1007/s42979-021-00812-4","Article"
"Energy Efficient Mathematical Model for Cyber-Physical Systems: A Model for Industrial Internet of Things","SN Computer Science","","4","5","10.1007/s42979-023-01833-x","Ramachandran VeerachamyGanga Rama Koteswara RaoVishnu Priya ArivananthamSangeetha KuppusamyPriya VelayuthamRajeshkumar Govindaraj","2023","http://link.springer.com/article/10.1007/s42979-023-01833-x","Article"
"Data Summarization in Internet of Things","SN Computer Science","","3","4","10.1007/s42979-022-01188-9","Sri Aditya DeeviB. S. Manoj","2022","http://link.springer.com/article/10.1007/s42979-022-01188-9","Article"
"Multimodal Recipe Recommendation System Using Deep Learning and Rule-Based Approach","SN Computer Science","","4","4","10.1007/s42979-023-01870-6","Abdullah Faiz Ur Rahman KhiljiUtkarsh SinhaPintu SinghAdnan AliPankaj DadureRiyanka MannaPartha Pakray","2023","http://link.springer.com/article/10.1007/s42979-023-01870-6","Article"
"Collective Information About the Data for Data Analytics","SN Computer Science","","4","2","10.1007/s42979-022-01595-y","Javed Akhtar Khan","2023","http://link.springer.com/article/10.1007/s42979-022-01595-y","Article"
"Software Engineering und Software-Engineering-Forschung im Zeitalter der Digitalisierung","Informatik Spektrum","","44","2","10.1007/s00287-020-01322-y","Michael FeldererRalf ReussnerBernhard Rumpe","2021","http://link.springer.com/article/10.1007/s00287-020-01322-y","Article"
"A Sensor Ranking Approach for Edge–Fog–Cloud Environments","SN Computer Science","","4","4","10.1007/s42979-023-01826-w","Felipe S. CostaSilvia M. NassarMario A. R. Dantas","2023","http://link.springer.com/article/10.1007/s42979-023-01826-w","Article"
"Bibliographic Review on Data Mining Techniques Used with Weather Data","Programming and Computer Software","","47","8","10.1134/S0361768821080090","Wilson Castillo-RojasCésar Hernández","2021","http://link.springer.com/article/10.1134/S0361768821080090","Article"
"Receding-Horizon Control of Constrained Switched Systems with Neural Networks as Parametric Function Approximators","SN Computer Science","","4","1","10.1007/s42979-022-01442-0","Lukas MarkolfOlaf Stursberg","2022","http://link.springer.com/article/10.1007/s42979-022-01442-0","Article"
"Real-Time Traffic Light Optimization Using Simulation of Urban Mobility","SN Computer Science","","4","5","10.1007/s42979-023-01916-9","Tanya GargGurjinder KaurPrashant Singh Rana","2023","http://link.springer.com/article/10.1007/s42979-023-01916-9","Article"
"An IOT-Based Automotive and Intelligent Toll Gate Using RFID","SN Computer Science","","4","2","10.1007/s42979-022-01569-0","S. ChandrappaM. S. GuruprasadH. N. Naveen KumarK. RajuD. K. Santhosh Kumar","2023","http://link.springer.com/article/10.1007/s42979-022-01569-0","Article"
"Probabilistic Analysis and Optimization of Packet Losses in Dense LoRa Networks","SN Computer Science","","3","1","10.1007/s42979-021-00883-3","Jirapon Sa-IngthongAnan PhonphoemAphirak JansangChaiporn Jaikaeo","2021","http://link.springer.com/article/10.1007/s42979-021-00883-3","Article"
"A Secure Lightweight Hardware-Assisted Charging Coordination Authentication Framework for Trusted Smart Grid Energy Storage Units","SN Computer Science","","2","6","10.1007/s42979-021-00840-0","Fathi AmsaadSelçuk Köse","2021","http://link.springer.com/article/10.1007/s42979-021-00840-0","Article"
